"告示番号※2",施設名,医療機関コード,都道府県,病院類型,DPC算定病床数,DPC算定病床の入院基本料,"DPC算定病床割合※3","精神病床数※4",療養病床数,結核病床数,"病床総数※5"
828,医療法人　埼玉成恵会病院,3300720,埼玉,平成21年度DPC参加病院,176,一般7対1,91.7%,0,0,0,192
829,埼玉医療生活協同組合　羽生総合病院,3900495,埼玉,平成21年度DPC参加病院,253,一般10対1,81.4%,0,0,0,311
830,医療法人社団　新座志木中央総合病院,5100151,埼玉,平成21年度DPC参加病院,247,一般7対1,75.5%,0,0,0,327
831,北里大学北里研究所メディカルセンター病院,5300926,埼玉,平成21年度DPC参加病院,372,一般7対1,100.0%,0,0,0,372
832,医療法人一心会　蓮田一心会病院,5700679,埼玉,平成21年度DPC参加病院,46,一般7対1,92.0%,0,0,0,50
833,埼玉県厚生農業協同組合連合会　久喜総合病院,6100127,埼玉,平成21年度DPC参加病院,140,一般10対1,72.9%,0,40,0,192
834,医療法人　関越病院,6200075,埼玉,平成21年度DPC参加病院,217,一般10対1,94.8%,0,0,0,229
835,埼玉医科大学国際医療センター,6300297,埼玉,平成21年度DPC参加病院,600,一般7対1,100.0%,0,0,0,600
836,医療法人社団　協友会　吉川中央総合病院,6400055,埼玉,平成21年度DPC参加病院,87,一般10対1,46.0%,0,0,0,189
837,さいたま市立病院,6500128,埼玉,平成21年度DPC参加病院,547,一般7対1,96.5%,0,0,20,567
838,独立行政法人国立病院機構西埼玉中央病院,9900051,埼玉,平成21年度DPC参加病院,325,一般7対1,100.0%,0,0,0,325
839,医療法人社団翠明会　山王病院,0113241,千葉,平成21年度DPC参加病院,253,一般10対1,91.7%,0,0,0,276
840,医療法人社団健脳会　千葉脳神経外科病院,0115758,千葉,平成21年度DPC参加病院,99,一般10対1,100.0%,0,0,0,99
841,千葉市　千葉市立青葉病院,0118687,千葉,平成21年度DPC参加病院,320,一般10対1,84.2%,60,0,0,380
842,医療法人社団保健会　谷津保健病院,0210351,千葉,平成21年度DPC参加病院,292,一般7対1,97.3%,0,0,0,300
843,社会福祉法人恩賜財団　済生会　支部千葉県済生会　千葉県済生会　習志野病院,0210971,千葉,平成21年度DPC参加病院,400,一般7対1,100.0%,0,0,0,400
844,学校法人帝京大学　帝京大学ちば総合医療センター,0610634,千葉,平成21年度DPC参加病院,517,一般7対1,100.0%,0,0,0,517
845,医療法人社団協友会　柏厚生総合病院,2114866,千葉,平成21年度DPC参加病院,177,一般7対1,63.7%,0,0,0,278
846,医療法人社団愛友会　千葉愛友会記念病院,2310423,千葉,平成21年度DPC参加病院,177,一般7対1,63.0%,0,0,0,281
847,医療法人財団東京勤労者医療会　東葛病院,2310621,千葉,平成21年度DPC参加病院,208,一般7対1,62.8%,0,36,0,331
848,国保松戸市立病院,2410116,千葉,平成21年度DPC参加病院,613,一般10対1,100.0%,0,0,0,613
849,医療法人社団　誠馨会　新東京病院,2414787,千葉,平成21年度DPC参加病院,234,一般7対1,100.0%,0,0,0,234
850,医療法人社団協友会　船橋総合病院,2811669,千葉,平成21年度DPC参加病院,123,一般7対1,50.0%,0,0,0,246
851,医療法人社団　誠馨会　セコメディック病院,2814945,千葉,平成21年度DPC参加病院,207,一般10対1,84.2%,0,0,0,246
852,医療法人社団　紺整会　船橋整形外科病院,2815397,千葉,平成21年度DPC参加病院,70,一般7対1,100.0%,0,0,0,70
853,社会福祉法人　聖隷福祉事業団　聖隷佐倉市民病院,4211363,千葉,平成21年度DPC参加病院,267,一般7対1,90.8%,0,0,0,294
854,千葉県立佐原病院,5210067,千葉,平成21年度DPC参加病院,205,一般7対1,90.3%,0,0,0,227
855,社会福祉法人　三井記念病院,0110098,東京,平成21年度DPC参加病院,482,一般7対1,100.0%,0,0,0,482
856,社団法人　東京都教職員互助会　三楽病院,0170050,東京,平成21年度DPC参加病院,243,一般10対1,90.0%,27,0,0,270
857,せんぽ東京高輪病院,0314716,東京,平成21年度DPC参加病院,227,一般7対1,94.2%,0,0,0,241
858,北里大学北里研究所病院,0370767,東京,平成21年度DPC参加病院,294,一般7対1,100.0%,0,0,0,294
859,社会福祉法人　聖母会　聖母病院,0411264,東京,平成21年度DPC参加病院,154,一般7対1,100.0%,0,0,0,154
860,株式会社　日立製作所　小平記念　東京日立病院,0514810,東京,平成21年度DPC参加病院,126,一般7対1,100.0%,0,0,0,126
861,東京都立駒込病院,0514828,東京,平成21年度DPC参加病院,906,一般7対1,100.0%,0,0,0,906
862,医療法人社団　哺育会　浅草病院,0615930,東京,平成21年度DPC参加病院,87,一般7対1,64.0%,0,0,0,136
863,同愛記念病院,0714857,東京,平成21年度DPC参加病院,395,一般7対1,92.9%,0,30,0,425
864,東京都立墨東病院,0714865,東京,平成21年度DPC参加病院,736,一般7対1,95.3%,36,0,0,772
865,医療法人社団　青藍会　鈴木病院,0870840,東京,平成21年度DPC参加病院,38,一般10対1,79.2%,0,0,0,48
866,順天堂大学医学部附属　順天堂東京江東高齢者医療センター,0870899,東京,平成21年度DPC参加病院,219,一般7対1,62.9%,86,0,0,348
867,財団法人　河野臨牀医学研究所　附属第三北品川病院,0915801,東京,平成21年度DPC参加病院,151,一般10対1,100.0%,0,0,0,151
868,昭和大学病院附属東病院,0970533,東京,平成21年度DPC参加病院,199,一般7対1,100.0%,0,0,0,199
869,総合病院厚生中央病院,1070044,東京,平成21年度DPC参加病院,290,一般10対1,96.0%,0,0,0,302
870,財団法人　東京都保健医療公社　荏原病院,1171081,東京,平成21年度DPC参加病院,385,一般7対1,84.6%,30,0,0,455
871,公立学校共済組合　関東中央病院,1215334,東京,平成21年度DPC参加病院,384,一般10対1,87.5%,50,0,0,439
872,社会福祉法人　康和会　久我山病院,1216886,東京,平成21年度DPC参加病院,199,一般7対1,100.0%,0,0,0,199
873,医療法人　柏堤会（財団）　奥沢病院,1270644,東京,平成21年度DPC参加病院,70,一般7対1,74.5%,0,0,0,94
874,東京都立広尾病院,1315258,東京,平成21年度DPC参加病院,452,一般7対1,93.8%,30,0,0,482
875,医療法人財団　荻窪病院,1514967,東京,平成21年度DPC参加病院,217,一般7対1,100.0%,0,0,0,217
876,東京北社会保険病院,1770734,東京,平成21年度DPC参加病院,280,一般7対1,100.0%,0,0,0,280
877,医療法人社団　明芳会　高島平中央総合病院,1970417,東京,平成21年度DPC参加病院,122,一般7対1,73.9%,0,0,0,165
878,医療法人社団　明芳会　イムス記念病院,1970763,東京,平成21年度DPC参加病院,67,一般10対1,100.0%,0,0,0,67
879,地方独立行政法人　東京都健康長寿医療センター,1970862,東京,平成21年度DPC参加病院,539,一般7対1,94.7%,30,0,0,569
880,博慈会記念総合病院,2117661,東京,平成21年度DPC参加病院,314,一般10対1,100.0%,0,0,0,314
881,特別医療法人社団慈生会　等潤病院,2170116,東京,平成21年度DPC参加病院,114,一般10対1,69.5%,0,0,0,164
882,財団法人　東京都保健医療公社　東部地域病院,2270999,東京,平成21年度DPC参加病院,313,一般7対1,100.0%,0,0,0,313
883,医療法人社団　昌医会　葛西循環器脳神経外科病院,2370930,東京,平成21年度DPC参加病院,136,一般7対1,90.1%,0,0,0,151
884,日本私立学校振興・共済事業団　東京臨海病院,2370989,東京,平成21年度DPC参加病院,400,一般7対1,100.0%,0,0,0,400
885,医療法人社団　森山医会　森山記念病院,2371003,東京,平成21年度DPC参加病院,149,一般7対1,94.9%,0,0,0,157
886,財団法人　東京都保健医療公社　多摩北部医療センター,2770071,東京,平成21年度DPC参加病院,315,一般7対1,97.5%,0,0,0,323
887,医療法人社団　仁成会　高木病院,2870822,東京,平成21年度DPC参加病院,180,一般10対1,100.0%,0,0,0,180
888,東京医科大学八王子医療センター,2970051,東京,平成21年度DPC参加病院,616,一般7対1,100.0%,0,0,0,616
889,医療法人社団　徳成会　八王子山王病院,2970960,東京,平成21年度DPC参加病院,109,一般10対1,69.4%,0,0,0,157
890,町田市民病院,3214160,東京,平成21年度DPC参加病院,441,一般7対1,100.0%,0,0,0,441
891,日野市立病院,3570074,東京,平成21年度DPC参加病院,300,一般10対1,100.0%,0,0,0,300
892,東京都立多摩総合医療センター,3815750,東京,平成21年度DPC参加病院,705,一般7対1,89.4%,36,0,48,789
893,特別医療法人社団　時正会　佐々総合病院,3970019,東京,平成21年度DPC参加病院,175,一般7対1,95.6%,0,0,0,183
894,医療法人社団　東光会　西東京中央総合病院,3970969,東京,平成21年度DPC参加病院,227,一般10対1,84.1%,0,0,0,270
895,社会福祉法人　恩賜財団東京都同胞援護会　昭島病院,4015624,東京,平成21年度DPC参加病院,133,一般10対1,66.8%,0,0,0,199
896,医療法人　徳洲会　東京西徳洲会病院,4070850,東京,平成21年度DPC参加病院,302,一般10対1,100.0%,0,0,0,302
897,公立福生病院,4470050,東京,平成21年度DPC参加病院,265,一般7対1,100.0%,0,0,0,265
898,公益財団法人結核予防会複十字病院,4715538,東京,平成21年度DPC参加病院,238,一般10対1,70.2%,0,41,60,339
899,社会医療法人財団　大和会　武蔵村山病院,4970042,東京,平成21年度DPC参加病院,144,一般7対1,48.0%,0,104,0,300
900,日本医科大学多摩永山病院,5070016,東京,平成21年度DPC参加病院,401,一般7対1,100.0%,0,0,0,401
901,財団法人　東京都保健医療公社　多摩南部地域病院,5070065,東京,平成21年度DPC参加病院,271,一般7対1,100.0%,0,0,0,271
902,稲城市立病院,5114483,東京,平成21年度DPC参加病院,290,一般10対1,100.0%,0,0,0,290
903,独立行政法人国立成育医療研究センター,8615312,東京,平成21年度DPC参加病院,460,一般7対1,100.0%,0,0,0,460
904,独立行政法人　国立病院機構　災害医療センター,8670077,東京,平成21年度DPC参加病院,447,一般7対1,98.2%,0,0,0,455
905,東京逓信病院,9516824,東京,平成21年度DPC参加病院,405,一般7対1,100.0%,0,0,0,405
906,恩賜財団　済生会　横浜市東部病院,0105122,神奈川,平成21年度DPC参加病院,504,一般7対1,91.0%,0,0,0,554
907,財団法人　神奈川県警友会　けいゆう病院,0302224,神奈川,平成21年度DPC参加病院,428,一般7対1,100.0%,0,0,0,428
908,金沢文庫病院,0801654,神奈川,平成21年度DPC参加病院,104,一般7対1,70.8%,0,0,0,147
909,医療法人柏堤会（財団）戸塚共立第１病院,1000157,神奈川,平成21年度DPC参加病院,144,一般7対1,100.0%,0,0,0,144
910,社会福祉法人　日本医療伝道会　衣笠病院,1901321,神奈川,平成21年度DPC参加病院,183,一般10対1,86.7%,0,0,0,211
911,財団法人　同友会　藤沢湘南台病院,2201051,神奈川,平成21年度DPC参加病院,240,一般7対1,79.2%,0,30,0,303
912,茅ヶ崎市立病院,2400034,神奈川,平成21年度DPC参加病院,401,一般10対1,100.0%,0,0,0,401
913,医療法人徳洲会　茅ヶ崎徳洲会総合病院,2401446,神奈川,平成21年度DPC参加病院,419,一般10対1,100.0%,0,0,0,419
914,北里大学東病院,2603322,神奈川,平成21年度DPC参加病院,323,一般7対1,65.7%,0,0,0,492
915,津久井赤十字病院,2606887,神奈川,平成21年度DPC参加病院,119,一般7対1,90.2%,0,0,0,132
916,厚木市立病院,2902468,神奈川,平成21年度DPC参加病院,336,一般7対1,100.0%,0,0,0,336
917,医療法人　沖縄徳洲会　湘南厚木病院,2902948,神奈川,平成21年度DPC参加病院,185,一般10対1,100.0%,0,0,0,185
918,医療法人徳洲会　大和徳洲会病院,3001302,神奈川,平成21年度DPC参加病院,199,一般10対1,100.0%,0,0,0,199
919,医療法人社団　哺育会　桜ヶ丘中央病院,3002078,神奈川,平成21年度DPC参加病院,54,一般7対1,31.6%,0,0,0,171
920,社会福祉法人　親善福祉協会　国際親善総合病院,3600533,神奈川,平成21年度DPC参加病院,287,一般7対1,100.0%,0,0,0,287
921,医療法人興生会　相模台病院,4100087,神奈川,平成21年度DPC参加病院,151,一般10対1,49.4%,117,0,0,306
922,川崎市立川崎病院,5000054,神奈川,平成21年度DPC参加病院,695,一般10対1,94.8%,38,0,0,733
923,医療法人愛仁会　太田総合病院,5000088,神奈川,平成21年度DPC参加病院,261,一般7対1,100.0%,0,0,0,261
924,日本鋼管病院,5003348,神奈川,平成21年度DPC参加病院,337,一般7対1,97.1%,0,0,0,347
925,日本医科大学武蔵小杉病院,5200100,神奈川,平成21年度DPC参加病院,372,一般7対1,100.0%,0,0,0,372
926,医療法人社団亮正会　総合高津中央病院,5300249,神奈川,平成21年度DPC参加病院,260,一般7対1,100.0%,0,0,0,260
927,川崎市立多摩病院,5402565,神奈川,平成21年度DPC参加病院,376,一般7対1,100.0%,0,0,0,376
928,神奈川県立循環器呼吸器病センター,0803643,神奈川,平成21年度DPC参加病院,179,一般10対1,74.9%,0,0,60,239
929,新潟中央病院,0115668,新潟,平成21年度DPC参加病院,197,一般10対1,75.2%,0,0,0,262
930,新潟県立がんセンター新潟病院,0116062,新潟,平成21年度DPC参加病院,500,専門10対1,100.0%,0,0,0,500
931,医療法人愛仁会　亀田第一病院,0122730,新潟,平成21年度DPC参加病院,179,一般10対1,90.9%,0,0,0,197
932,新潟市民病院,0124652,新潟,平成21年度DPC参加病院,660,一般7対1,100.0%,0,0,0,660
933,立川綜合病院,0211418,新潟,平成21年度DPC参加病院,481,一般7対1,100.0%,0,0,0,481
934,新潟県立中央病院,0311804,新潟,平成21年度DPC参加病院,518,一般10対1,97.0%,0,0,0,534
935,新潟県厚生農業協同組合連合会　上越総合病院,0312851,新潟,平成21年度DPC参加病院,253,一般7対1,83.5%,0,0,0,303
936,小千谷総合病院,0810052,新潟,平成21年度DPC参加病院,139,一般10対1,66.2%,0,0,0,210
937,新潟県立十日町病院,1010181,新潟,平成21年度DPC参加病院,275,一般10対1,100.0%,0,0,0,275
938,独立行政法人　労働者健康福祉機構　燕労災病院,1310250,新潟,平成21年度DPC参加病院,281,一般10対1,93.7%,0,0,0,300
939,町立湯沢病院,5811667,新潟,平成21年度DPC参加病院,40,一般10対1,62.5%,0,24,0,64
940,富山県立中央病院,0110023,富山,平成21年度DPC参加病院,640,一般7対1,83.7%,80,0,20,765
941,富山県済生会富山病院,0115667,富山,平成21年度DPC参加病院,250,一般7対1,100.0%,0,0,0,250
942,八尾総合病院,0117291,富山,平成21年度DPC参加病院,154,一般10対1,77.4%,0,0,0,199
943,高岡市民病院,0210914,富山,平成21年度DPC参加病院,390,一般7対1,81.9%,50,0,12,476
944,独立行政法人労働者健康福祉機構富山労災病院,0410019,富山,平成21年度DPC参加病院,226,一般10対1,75.3%,0,0,0,300
945,金沢医科大学氷見市民病院,0510032,富山,平成21年度DPC参加病院,216,一般10対1,100.0%,0,0,0,216
946,黒部市民病院,0710012,富山,平成21年度DPC参加病院,395,一般10対1,95.4%,0,0,5,414
947,市立砺波総合病院,0810010,富山,平成21年度DPC参加病院,422,一般7対1,82.1%,44,0,5,514
948,真生会　富山病院,1910769,富山,平成21年度DPC参加病院,99,一般10対1,100.0%,0,0,0,99
949,射水市民病院,1911049,富山,平成21年度DPC参加病院,171,一般10対1,85.9%,0,0,4,199
950,国家公務員共済組合連合会　北陸病院,0111145,石川,平成21年度DPC参加病院,114,一般10対1,93.4%,0,0,0,122
951,金沢赤十字病院,0112333,石川,平成21年度DPC参加病院,214,一般7対1,82.3%,0,0,0,260
952,石川県立中央病院,0113786,石川,平成21年度DPC参加病院,612,一般7対1,100.0%,0,0,0,612
953,石川県済生会金沢病院,0117068,石川,平成21年度DPC参加病院,152,一般10対1,67.6%,0,0,0,225
954,医療法人社団浅ノ川　浅ノ川総合病院,0118231,石川,平成21年度DPC参加病院,290,一般7対1,58.0%,0,110,0,500
955,金沢有松病院,0119536,石川,平成21年度DPC参加病院,140,一般7対1,100.0%,0,0,0,140
956,国民健康保険　小松市民病院,0311364,石川,平成21年度DPC参加病院,294,一般7対1,80.8%,50,0,10,364
957,市立輪島病院,0410513,石川,平成21年度DPC参加病院,138,一般10対1,69.4%,0,49,0,199
958,加賀市民病院,0611177,石川,平成21年度DPC参加病院,184,一般7対1,81.4%,0,0,0,226
959,医療法人社団　浅ノ川　金沢脳神経外科病院,1311405,石川,平成21年度DPC参加病院,60,一般7対1,27.3%,0,54,0,220
960,公立つるぎ病院,2210614,石川,平成21年度DPC参加病院,91,一般10対1,59.9%,0,27,0,152
961,福井県立病院,0117059,福井,平成21年度DPC参加病院,597,一般10対1,61.8%,228,0,10,966
962,福井赤十字病院,0117117,福井,平成21年度DPC参加病院,571,一般7対1,90.6%,0,0,26,630
963,福井循環器病院,0117539,福井,平成21年度DPC参加病院,165,一般7対1,100.0%,0,0,0,165
964,公立丹南病院,0714582,福井,平成21年度DPC参加病院,199,一般7対1,100.0%,0,0,0,199
965,市立甲府病院,0114451,山梨,平成21年度DPC参加病院,408,一般10対1,100.0%,0,0,0,408
966,国民健康保険　富士吉田市立病院,1210886,山梨,平成21年度DPC参加病院,254,一般7対1,93.7%,0,17,0,271
967,医療法人康麗会　笛吹中央病院,1810362,山梨,平成21年度DPC参加病院,54,一般7対1,36.0%,0,0,0,150
968,長野医療生活協同組合　長野中央病院,0117436,長野,平成21年度DPC参加病院,224,一般10対1,74.7%,0,0,0,300
969,市立岡谷病院,0417026,長野,平成21年度DPC参加病院,251,一般7対1,95.1%,0,0,0,264
970,飯田市立病院,0517023,長野,平成21年度DPC参加病院,399,一般7対1,99.0%,0,0,0,403
971,医療法人栗山会　飯田病院,0517064,長野,平成21年度DPC参加病院,191,一般7対1,42.3%,240,0,0,452
972,健和会病院,0517205,長野,平成21年度DPC参加病院,87,一般7対1,43.7%,0,33,0,199
973,長野県立須坂病院,0716013,長野,平成21年度DPC参加病院,292,一般10対1,88.0%,0,0,24,332
974,昭和伊南総合病院,1017080,長野,平成21年度DPC参加病院,210,一般7対1,95.5%,0,0,0,220
975,市立大町総合病院,1217029,長野,平成21年度DPC参加病院,210,一般10対1,75.0%,0,50,0,280
976,飯山赤十字病院,1317035,長野,平成21年度DPC参加病院,172,一般7対1,71.7%,0,0,0,240
977,組合立諏訪中央病院,1417017,長野,平成21年度DPC参加病院,264,一般7対1,78.1%,0,23,0,338
978,長野県厚生農業協同組合連合会　佐久総合病院小海分院,2017220,長野,平成21年度DPC参加病院,42,一般10対1,42.4%,0,49,0,99
979,安曇野赤十字病院,4017053,長野,平成21年度DPC参加病院,216,一般7対1,82.8%,0,0,0,261
980,岐阜県総合医療センター,0111438,岐阜,平成21年度DPC参加病院,590,一般7対1,100.0%,0,0,0,590
981,岐阜赤十字病院,0102551,岐阜,平成21年度DPC参加病院,308,一般7対1,100.0%,0,0,0,308
982,朝日大学歯学部附属　村上記念病院,0105612,岐阜,平成21年度DPC参加病院,303,一般7対1,88.3%,0,0,0,343
983,河村病院,0106230,岐阜,平成21年度DPC参加病院,107,一般7対1,42.0%,0,88,0,255
984,山内ホスピタル,0106271,岐阜,平成21年度DPC参加病院,49,一般10対1,40.2%,0,39,0,122
985,美濃市立美濃病院,0300320,岐阜,平成21年度DPC参加病院,102,一般10対1,83.6%,0,0,0,122
986,岐阜県立多治見病院,1101560,岐阜,平成21年度DPC参加病院,509,一般10対1,96.2%,0,0,0,529
987,総合病院中津川市民病院,1500589,岐阜,平成21年度DPC参加病院,262,一般7対1,96.0%,0,0,0,273
988,市立恵那病院,1700775,岐阜,平成21年度DPC参加病院,117,一般7対1,59.7%,0,41,10,196
989,土岐市立総合病院,1800617,岐阜,平成21年度DPC参加病院,310,一般7対1,97.2%,0,0,0,319
990,岐阜県厚生農業協同組合連合会　西美濃厚生病院,2300112,岐阜,平成21年度DPC参加病院,169,一般7対1,53.7%,0,128,0,315
991,岐阜県厚生農業協同組合連合会　揖斐厚生病院,2600024,岐阜,平成21年度DPC参加病院,215,一般7対1,76.5%,0,52,0,281
992,医療法人社団健育会　西伊豆病院,0110249,静岡,平成21年度DPC参加病院,68,一般10対1,87.2%,0,0,0,78
993,市立伊東市民病院,0410276,静岡,平成21年度DPC参加病院,250,一般10対1,100.0%,0,0,0,250
994,富士宮市立病院,2110098,静岡,平成21年度DPC参加病院,350,一般7対1,100.0%,0,0,0,350
995,財団法人富士脳障害研究所附属病院,2110163,静岡,平成21年度DPC参加病院,80,一般10対1,50.0%,0,35,0,160
996,富士市立中央病院,2310094,静岡,平成21年度DPC参加病院,464,一般7対1,97.9%,0,0,10,474
997,共立蒲原総合病院,3110014,静岡,平成21年度DPC参加病院,143,一般10対1,70.4%,0,60,0,203
998,静岡市立静岡病院,4210011,静岡,平成21年度DPC参加病院,500,一般10対1,100.0%,0,0,0,500
999,静岡市立清水病院,4210029,静岡,平成21年度DPC参加病院,445,一般10対1,89.0%,0,0,0,500
1000,静岡県立こども病院,4210789,静岡,平成21年度DPC参加病院,243,一般7対1,87.1%,36,0,0,279
1001,焼津市立総合病院,5160058,静岡,平成21年度DPC参加病院,486,一般7対1,100.0%,0,0,0,486
1002,掛川市立総合病院,6210043,静岡,平成21年度DPC参加病院,430,一般10対1,95.6%,0,0,0,450
1003,袋井市立袋井市民病院,6410056,静岡,平成21年度DPC参加病院,245,一般7対1,97.6%,0,0,0,251
1004,磐田市立総合病院,6710067,静岡,平成21年度DPC参加病院,500,一般7対1,100.0%,0,0,0,500
1005,ＪＡ静岡厚生連　遠州病院,7110069,静岡,平成21年度DPC参加病院,340,一般7対1,85.0%,0,0,0,400
1006,労働者健康福祉機構　浜松労災病院,7110440,静岡,平成21年度DPC参加病院,300,一般10対1,96.2%,0,0,0,312
1007,医療法人社団松愛会　松田病院,7110838,静岡,平成21年度DPC参加病院,111,一般7対1,100.0%,0,0,0,111
1008,名古屋市立東部医療センター東市民病院,0100306,愛知,平成21年度DPC参加病院,498,一般7対1,100.0%,0,0,0,498
1009,総合上飯田第一病院,0300054,愛知,平成21年度DPC参加病院,225,一般7対1,100.0%,0,0,0,225
1010,名鉄病院,0400847,愛知,平成21年度DPC参加病院,438,一般7対1,100.0%,0,0,0,438
1011,医療法人衆済会　増子記念病院,0500505,愛知,平成21年度DPC参加病院,102,一般7対1,100.0%,0,0,0,102
1012,名古屋セントラル病院,0502808,愛知,平成21年度DPC参加病院,198,一般7対1,100.0%,0,0,0,198
1013,藤田保健衛生大学　坂文種報德會病院,1000893,愛知,平成21年度DPC参加病院,453,一般7対1,100.0%,0,0,0,453
1014,社会医療法人　名古屋記念財団　名古屋記念病院,1600767,愛知,平成21年度DPC参加病院,464,一般7対1,100.0%,0,0,0,464
1015,岡崎市民病院,2100593,愛知,平成21年度DPC参加病院,650,一般10対1,100.0%,0,0,0,650
1016,一宮市立市民病院,2200369,愛知,平成21年度DPC参加病院,566,一般7対1,96.9%,0,0,18,584
1017,公立陶生病院,2300243,愛知,平成21年度DPC参加病院,672,一般10対1,93.9%,0,0,44,716
1018,半田市立半田病院,2400191,愛知,平成21年度DPC参加病院,499,一般10対1,100.0%,0,0,0,499
1019,春日井市民病院,2500198,愛知,平成21年度DPC参加病院,550,一般10対1,100.0%,0,0,0,550
1020,豊川市民病院,2600105,愛知,平成21年度DPC参加病院,339,一般7対1,74.8%,106,0,8,453
1021,愛知県厚生農業協同組合連合会　安城更生病院,3100105,愛知,平成21年度DPC参加病院,706,一般7対1,97.7%,0,0,0,723
1022,社会医療法人財団新和会　八千代病院,3100832,愛知,平成21年度DPC参加病院,216,一般7対1,67.5%,0,52,0,320
1023,西尾市民病院,3200210,愛知,平成21年度DPC参加病院,400,一般7対1,100.0%,0,0,0,400
1024,愛知県厚生農業協同組合連合会　海南病院,7500011,愛知,平成21年度DPC参加病院,475,一般10対1,85.9%,0,0,0,553
1025,医療法人山本総合病院,0105049,三重,平成21年度DPC参加病院,291,一般7対1,83.4%,0,42,0,349
1026,桑名市民病院,0105759,三重,平成21年度DPC参加病院,228,一般7対1,97.4%,0,0,0,234
1027,三重県立総合医療センター,0205054,三重,平成21年度DPC参加病院,446,一般7対1,100.0%,0,0,0,446
1028,紀南病院,3105012,三重,平成21年度DPC参加病院,226,一般10対1,82.8%,0,25,10,273
1029,大津市民病院,0101450,滋賀,平成21年度DPC参加病院,405,一般7対1,80.0%,0,0,10,506
1030,彦根市立病院,0202043,滋賀,平成21年度DPC参加病院,348,一般7対1,87.4%,0,0,10,398
1031,長浜赤十字病院,0300102,滋賀,平成21年度DPC参加病院,426,一般7対1,79.8%,62,0,0,534
1032,近江八幡市立総合医療センター,0401322,滋賀,平成21年度DPC参加病院,357,一般10対1,87.7%,0,0,0,407
1033,医療法人徳洲会　近江草津徳洲会病院,0601962,滋賀,平成21年度DPC参加病院,147,一般10対1,73.9%,0,44,0,199
1034,社会医療法人　誠光会　草津総合病院,0601970,滋賀,平成21年度DPC参加病院,416,一般7対1,68.8%,0,99,0,605
1035,公立甲賀病院,1400067,滋賀,平成21年度DPC参加病院,394,一般10対1,94.9%,0,21,0,415
1036,医療法人同仁会（社団）京都九条病院,0500205,京都,平成21年度DPC参加病院,187,一般10対1,90.3%,0,0,0,207
1037,第二岡本総合病院,1201530,京都,平成21年度DPC参加病院,317,一般7対1,75.7%,0,0,0,419
1038,医療法人徳洲会　宇治徳洲会病院,1201597,京都,平成21年度DPC参加病院,400,一般10対1,100.0%,0,0,0,400
1039,綾部市立病院,1800950,京都,平成21年度DPC参加病院,198,一般7対1,96.1%,0,0,0,206
1040,医療法人啓信会　京都きづ川病院,2800710,京都,平成21年度DPC参加病院,156,一般10対1,49.8%,0,54,0,313
1041,医療法人社団石鎚会　田辺中央病院,3200209,京都,平成21年度DPC参加病院,140,一般7対1,74.5%,0,0,0,188
1042,三菱京都病院,4000103,京都,平成21年度DPC参加病院,188,一般7対1,100.0%,0,0,0,188
1043,京都府立与謝の海病院,9600097,京都,平成21年度DPC参加病院,290,一般7対1,92.7%,0,0,15,313
1044,京都市立病院,9600121,京都,平成21年度DPC参加病院,536,一般7対1,97.8%,0,0,12,548
1045,公立山城病院,9600154,京都,平成21年度DPC参加病院,321,一般7対1,100.0%,0,0,0,321
1046,市立福知山市民病院,9600212,京都,平成21年度DPC参加病院,270,一般7対1,83.3%,0,0,10,324
1047,独立行政法人国立病院機構舞鶴医療センター,9900026,京都,平成21年度DPC参加病院,275,一般10対1,63.1%,155,0,0,436
1048,財団法人　浅香山病院,0101896,大阪,平成21年度DPC参加病院,152,一般7対1,13.1%,329,0,0,1158
1049,近畿大学医学部堺病院,0120128,大阪,平成21年度DPC参加病院,310,一般7対1,100.0%,0,0,0,310
1050,医療法人一祐会　藤本病院,0300449,大阪,平成21年度DPC参加病院,155,一般10対1,100.0%,0,0,0,155
1051,和泉市立病院,0500865,大阪,平成21年度DPC参加病院,277,一般7対1,90.2%,0,0,0,307
1052,大阪府立母子保健総合医療センター,0502879,大阪,平成21年度DPC参加病院,362,一般7対1,100.0%,0,0,0,362
1053,医療法人泉秀会　かわい病院,0600954,大阪,平成21年度DPC参加病院,36,一般10対1,78.3%,0,0,0,46
1054,医療法人東和会　第一東和会病院,0904174,大阪,平成21年度DPC参加病院,243,一般7対1,100.0%,0,0,0,243
1055,医療法人三和会　永山病院,1200945,大阪,平成21年度DPC参加病院,138,一般7対1,39.4%,0,202,0,350
1056,社会福祉法人恩賜財団　済生会　支部大阪府済生会　千里病院,1607149,大阪,平成21年度DPC参加病院,343,一般7対1,100.0%,0,0,0,343
1057,医療法人社団　湯川胃腸病院,1701702,大阪,平成21年度DPC参加病院,60,一般10対1,71.4%,0,0,0,84
1058,大阪府立急性期・総合医療センター,2006622,大阪,平成21年度DPC参加病院,647,一般7対1,84.2%,0,0,0,768
1059,大阪鉄道病院,2305776,大阪,平成21年度DPC参加病院,280,一般7対1,87.5%,0,0,0,320
1060,医療法人毅峰会　吉田病院,2407523,大阪,平成21年度DPC参加病院,58,一般10対1,100.0%,0,0,0,58
1061,医療法人マックシール　巽病院,2502174,大阪,平成21年度DPC参加病院,63,一般7対1,84.0%,0,0,0,75
